id,user_id,created_at,num_people,water_litres,bus_rides,food_waste_instances,ac_hours,wastes_meat,total_cf,average_cf,entry_id,date
,1001,,3,206,0,3,17,True,12.718,,1,2025-11-06
,1001,,1,500,5,3,10,False,8.5,,2,2025-11-07
,1001,,1,2896,13,9,168,False,98.488,,3,2025-11-07
,1001,,1,2896,13,9,168,True,104.788,,4,2025-11-07
,1001,,3,176,0,3,40,False,22.028,,5,2025-11-08
,1001,,4,500,5,3,10,False,8.5,,6,2025-11-08
,1001,,1,500,5,3,10,False,8.5,,7,2025-11-08
,1002,,3,206,5,3,10,False,7.618,,8,2025-11-08
,1003,,1,377,2,8,81,False,45.831,,9,2025-11-08
,1003,,1,500,5,3,10,False,8.5,,10,2025-11-08
,1004,,1,427,3,2,29,True,18.481,,11,2025-11-08
,1005,,1,276,4,0,33,True,17.728,,12,2025-11-08
,1006,,2,0,6,17,35,True,38.5,,13,2025-11-08
,1001,,1,0,5,3,10,False,7.0,,14,2025-11-08
,1007,,1,297,4,4,21,True,16.591,,15,2025-11-08
